                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62163,                 2.6269,                0.91787,                0.22115,                0.06302,                0.09022,                0.08205,                0.50472,                 3.2292,                0.84316,             0.00020285,             0.00020285,             0.00020285
                      2,                0.58977,                  1.225,                0.87778,                0.59752,                0.79124,                0.75582,                0.66745,                0.53866,                 1.3844,                0.84826,             0.00040711,             0.00040711,             0.00040711
                      3,                0.58051,                0.90803,                0.88013,                0.86983,                0.91148,                0.95292,                0.84684,                0.50344,                0.79499,                0.83193,             0.00060725,             0.00060725,             0.00060725
                      4,                0.58333,                0.69752,                0.88296,                 0.8855,                0.92126,                0.95354,                0.84638,                0.50266,                0.61373,                0.83707,             0.00060644,             0.00060644,             0.00060644
                      5,                0.57699,                0.60665,                0.87794,                0.96839,                0.96937,                0.98904,                0.88406,                0.49958,                0.45716,                0.83994,             0.00060644,             0.00060644,             0.00060644
                      6,                0.56767,                0.52449,                0.87621,                0.96993,                0.98238,                0.99026,                0.89401,                0.47122,                0.39037,                0.83127,             0.00060025,             0.00060025,             0.00060025
                      7,                0.56352,                0.51689,                0.87784,                0.97412,                0.95939,                0.99063,                0.88778,                0.48186,                0.41006,                0.83545,             0.00059406,             0.00059406,             0.00059406
                      8,                0.56087,                0.46809,                0.87152,                0.96311,                0.96039,                0.98588,                0.88558,                0.47362,                0.44365,                 0.8293,             0.00058787,             0.00058787,             0.00058787
                      9,                0.55979,                0.45751,                0.87297,                0.99184,                0.98757,                0.99426,                0.89232,                0.48425,                0.34018,                0.83635,             0.00058169,             0.00058169,             0.00058169
                     10,                0.54449,                 0.4462,                0.86315,                0.98689,                0.98731,                0.99223,                0.89941,                0.45672,                0.33339,                0.82807,              0.0005755,              0.0005755,              0.0005755
                     11,                0.54288,                0.43859,                0.86457,                0.97676,                0.98401,                 0.9912,                0.89797,                0.46074,                0.34028,                0.83325,             0.00056931,             0.00056931,             0.00056931
                     12,                0.54636,                0.42447,                0.86923,                0.97576,                0.97769,                0.99113,                0.89039,                0.46978,                0.31822,                0.83656,             0.00056313,             0.00056313,             0.00056313
                     13,                 0.5485,                0.41067,                0.87076,                0.98468,                 0.9916,                0.99298,                0.88605,                0.49744,                0.31745,                0.84467,             0.00055694,             0.00055694,             0.00055694
                     14,                0.54873,                0.42439,                0.86642,                0.99278,                0.99341,                 0.9945,                0.90206,                 0.4544,                0.28529,                0.82745,             0.00055075,             0.00055075,             0.00055075
                     15,                0.53701,                 0.3893,                0.86728,                0.99189,                0.99593,                0.99456,                0.90576,                0.44491,                0.28765,                0.82967,             0.00054456,             0.00054456,             0.00054456
                     16,                0.53374,                0.38287,                0.87357,                0.98781,                0.98311,                0.99282,                0.89265,                0.47947,                0.30118,                0.83992,             0.00053838,             0.00053838,             0.00053838
                     17,                0.53933,                0.37636,                 0.8766,                0.98996,                0.99647,                0.99365,                0.90086,                0.46081,                 0.2833,                 0.8389,             0.00053219,             0.00053219,             0.00053219
                     18,                0.53479,                0.38594,                0.87313,                0.98446,                0.98631,                0.99158,                0.89651,                0.46332,                0.29865,                0.83723,               0.000526,               0.000526,               0.000526
                     19,                0.53685,                0.40089,                0.87298,                0.97832,                0.98709,                0.99221,                0.90205,                0.45745,                0.29484,                0.83231,             0.00051981,             0.00051981,             0.00051981
                     20,                0.52987,                0.38151,                0.86621,                0.98559,                0.99127,                0.99433,                0.90543,                0.44942,                0.27833,                0.82611,             0.00051363,             0.00051363,             0.00051363
                     21,                0.52763,                0.37041,                0.86953,                0.98949,                0.99274,                 0.9946,                0.90418,                0.45326,                0.26856,                0.83172,             0.00050744,             0.00050744,             0.00050744
                     22,                0.51494,                 0.3646,                0.86618,                0.98455,                0.99196,                0.99221,                0.90044,                0.45601,                0.27644,                0.83179,             0.00050125,             0.00050125,             0.00050125
                     23,                0.52209,                0.35525,                0.86449,                0.99306,                0.99466,                0.99426,                0.90363,                0.45386,                0.26199,                0.83343,             0.00049506,             0.00049506,             0.00049506
                     24,                0.51642,                0.33813,                0.85867,                0.99237,                0.99403,                0.99405,                0.90396,                 0.4557,                0.26206,                0.83342,             0.00048888,             0.00048888,             0.00048888
                     25,                0.52438,                0.34986,                 0.8699,                0.99506,                0.99418,                 0.9934,                0.90026,                0.46255,                0.25545,                0.83524,             0.00048269,             0.00048269,             0.00048269
                     26,                0.50908,                0.34472,                0.86629,                0.99662,                0.99802,                0.99454,                0.90106,                0.46578,                0.25404,                0.83572,              0.0004765,              0.0004765,              0.0004765
                     27,                0.52155,                0.34464,                0.86558,                0.99592,                0.99636,                0.99448,                 0.9091,                0.44337,                0.24815,                0.83167,             0.00047031,             0.00047031,             0.00047031
                     28,                0.51673,                0.34208,                 0.8639,                0.99315,                0.99482,                0.99468,                0.90637,                0.44669,                0.25158,                0.83161,             0.00046413,             0.00046413,             0.00046413
                     29,                0.51074,                0.34297,                0.86298,                0.99207,                0.99342,                0.99395,                0.90909,                 0.4428,                 0.2479,                0.83139,             0.00045794,             0.00045794,             0.00045794
                     30,                0.50982,                0.33415,                0.86673,                0.99438,                0.99299,                 0.9947,                0.90563,                0.44227,                0.25472,                0.83022,             0.00045175,             0.00045175,             0.00045175
                     31,                 0.5075,                0.32687,                0.85661,                0.99034,                0.99577,                0.99471,                0.90518,                0.46295,                0.26649,                0.83741,             0.00044556,             0.00044556,             0.00044556
                     32,                0.50617,                0.31805,                0.86234,                 0.9885,                0.99057,                0.99347,                0.89993,                0.46019,                0.25216,                0.83821,             0.00043937,             0.00043937,             0.00043937
                     33,                0.50744,                0.31253,                 0.8642,                0.99705,                0.99699,                0.99471,                  0.913,                 0.4322,                0.22274,                0.82502,             0.00043319,             0.00043319,             0.00043319
                     34,                0.49469,                 0.3034,                0.85611,                0.99693,                0.99819,                 0.9949,                0.90711,                0.44369,                 0.2261,                0.82946,               0.000427,               0.000427,               0.000427
                     35,                0.49051,                0.30982,                0.85647,                0.99743,                0.99805,                0.99462,                0.91041,                0.44008,                0.22805,                0.82927,             0.00042081,             0.00042081,             0.00042081
                     36,                0.49013,                 0.3067,                0.85858,                 0.9969,                0.99809,                0.99436,                0.90961,                0.44529,                0.23438,                0.83109,             0.00041462,             0.00041462,             0.00041462
                     37,                0.49464,                0.30182,                0.85568,                 0.9897,                 0.9924,                0.99409,                 0.9109,                  0.444,                0.24451,                0.83136,             0.00040844,             0.00040844,             0.00040844
                     38,                0.49151,                0.28858,                0.85422,                0.99725,                0.99854,                0.99471,                0.91331,                0.43504,                0.22071,                0.82591,             0.00040225,             0.00040225,             0.00040225
                     39,                0.48221,                0.28644,                0.84796,                0.99676,                0.99892,                0.99486,                0.91071,                0.44308,                0.21678,                 0.8276,             0.00039606,             0.00039606,             0.00039606
                     40,                0.48008,                0.28734,                0.84741,                0.99424,                 0.9966,                0.99449,                0.91044,                0.43913,                0.22532,                0.82696,             0.00038988,             0.00038988,             0.00038988
                     41,                0.47455,                0.28305,                0.84948,                0.99463,                0.99519,                0.99451,                0.91503,                0.44083,                0.22384,                0.82691,             0.00038369,             0.00038369,             0.00038369
                     42,                0.49033,                0.29216,                0.85244,                0.99662,                0.99718,                0.99474,                 0.9105,                0.43728,                0.23634,                 0.8289,              0.0003775,              0.0003775,              0.0003775
                     43,                0.48066,                0.29613,                 0.8498,                0.99194,                0.99574,                0.99498,                0.91354,                0.43605,                0.22676,                0.82617,             0.00037131,             0.00037131,             0.00037131
                     44,                0.47163,                0.28559,                0.84965,                 0.9955,                0.99787,                0.99452,                 0.9134,                0.43663,                0.22164,                0.82797,             0.00036513,             0.00036513,             0.00036513
                     45,                 0.4745,                0.28508,                0.85519,                0.99602,                 0.9962,                0.99438,                0.90917,                0.44077,                0.22765,                0.82975,             0.00035894,             0.00035894,             0.00035894
                     46,                 0.4698,                0.28272,                 0.8524,                0.99743,                0.99807,                0.99499,                0.91454,                0.43502,                0.21279,                0.82581,             0.00035275,             0.00035275,             0.00035275
                     47,                0.47151,                0.29501,                0.85212,                0.99549,                0.99802,                0.99495,                0.90864,                0.45382,                0.22292,                0.83043,             0.00034656,             0.00034656,             0.00034656
                     48,                0.47511,                0.28734,                0.85366,                0.99693,                0.99636,                0.99496,                0.91275,                0.44213,                0.21875,                 0.8286,             0.00034038,             0.00034038,             0.00034038
                     49,                0.46841,                0.27438,                0.84957,                0.99733,                0.99868,                0.99471,                0.91446,                0.43477,                0.21527,                0.82641,             0.00033419,             0.00033419,             0.00033419
                     50,                0.46553,                0.26871,                0.85135,                0.99683,                0.99766,                0.99453,                0.90943,                0.44601,                0.21784,                0.83088,               0.000328,               0.000328,               0.000328
                     51,                0.45589,                0.26988,                0.84933,                0.99673,                0.99862,                0.99495,                0.91298,                0.44251,                0.21508,                0.82713,             0.00032181,             0.00032181,             0.00032181
                     52,                0.45381,                0.26744,                0.84546,                 0.9983,                0.99902,                0.99473,                0.91289,                0.44043,                0.20905,                0.82665,             0.00031562,             0.00031562,             0.00031562
                     53,                0.44994,                0.26871,                0.83963,                0.99846,                0.99906,                0.99494,                0.91376,                0.43524,                0.20693,                0.82685,             0.00030944,             0.00030944,             0.00030944
                     54,                0.45542,                0.27404,                0.84933,                0.99165,                 0.9957,                0.99466,                 0.9104,                0.44647,                0.21875,                0.82966,             0.00030325,             0.00030325,             0.00030325
